Parameter i0,P i1,P k0,P k1,P order0,P order1,P order2,P order3,P mode0,P mode1,P mode2,P mode3,P j0,P j1,P lorder0,P lorder1,P lorder2,P lorder3,P lorder4,P lorder5,P para,P vec,P unroll,P un_fac,P parchunk,Mapped X,Mapped Y,Mapped,Execution Time
512,64,8192,4,k0,i0,i1,k1,2,1,0,1,2,64,j0,k0,i0,j1,i1,k1,None,None,k0,512,8,0,37,37,121.56539916992188
128,256,2048,16,i0,k0,k1,i1,0,1,1,2,4,32,j0,i0,k0,k1,j1,i1,j0,None,i0,2048,32,0,37,37,128.8650360107422
128,256,2048,16,i0,k0,k1,i1,0,1,1,1,4,32,j0,i0,k0,k1,j1,i1,j0,None,i0,2048,4,0,37,37,131.2313232421875
512,64,8192,4,k0,i0,k1,i1,2,1,0,1,2,64,j0,k0,i0,j1,k1,i1,j0,None,None,0,16,16,6,1606,198.2197723388672
512,64,8192,4,k0,i0,k1,i1,2,1,1,2,2,64,j0,k0,i0,j1,k1,i1,j0,None,None,0,8,32,7,3207,201.64111328125
512,64,8192,4,k0,i0,k1,i1,2,1,1,2,2,64,j0,k0,i0,j1,k1,i1,j0,None,None,0,8,32,7,3207,202.5297088623047
512,64,256,128,k0,i0,k1,i1,2,1,0,1,2,64,j0,k0,i0,k1,i1,j1,j0,j1,k0,512,4,3,14,314,27.61736488342285
512,64,256,128,k0,i0,k1,i1,2,1,0,1,64,2,j0,k0,i0,j1,k1,i1,j0,None,None,0,4,8,6,806,56.378868103027344
512,64,256,128,k0,i0,k1,i1,2,1,0,1,64,2,j0,k0,i0,j1,k1,i1,j0,None,None,0,4,8,6,806,56.515010833740234
256,128,256,128,i0,k0,k1,i1,0,1,1,2,4,32,i0,j0,k0,k1,j1,i1,None,None,i0,256,16,3,37,337,85.1551513671875
512,64,256,128,k0,i0,i1,k1,2,2,1,1,64,2,j0,k0,i0,j1,i1,k1,j0,None,None,0,4,8,8,808,54.80923843383789
512,64,256,128,k0,i0,i1,k1,2,1,0,1,64,2,j0,k0,i0,j1,i1,k1,j0,None,k0,512,4,3,37,337,55.66864013671875
256,128,256,128,i0,k0,k1,i1,0,1,1,1,4,32,i0,k0,j0,k1,j1,i1,None,None,i0,256,16,3,37,337,72.01920318603516
512,64,128,256,k0,i0,k1,i1,2,1,1,2,64,2,j0,k0,i0,j1,k1,i1,j0,None,None,0,4,16,7,1607,58.440086364746094
256,128,256,128,i0,k0,k1,i1,0,1,1,1,4,32,i0,j0,k0,k1,j1,i1,None,None,i0,256,8,7,37,737,64.56828308105469
512,64,256,128,k0,i0,i1,k1,2,1,0,1,64,2,j0,k0,i0,j1,i1,k1,j0,None,None,0,4,8,37,837,53.56752014160156
256,128,256,128,i0,k0,k1,i1,0,1,1,1,4,32,j0,i0,k0,k1,j1,i1,None,None,i0,256,32,1,37,137,98.30524444580078
256,128,256,128,i0,k0,k1,i1,0,1,1,2,4,32,j0,i0,k0,k1,j1,i1,None,None,i0,256,16,3,37,337,98.90235137939453
512,64,256,128,k0,i0,i1,k1,2,2,1,1,64,2,j0,k0,i0,j1,i1,k1,j0,None,j1,2,4,2,8,208,55.822059631347656
128,256,256,128,i0,k0,k1,i1,0,1,1,2,4,32,j0,i0,k0,k1,j1,i1,None,None,i0,256,4,31,37,3137,92.8113784790039
128,256,256,128,k0,i0,k1,i1,1,1,0,2,4,32,j0,k0,i0,k1,j1,i1,None,None,k0,128,8,31,16,3116,94.06970977783203
128,256,256,128,k0,i0,k1,i1,1,2,0,2,4,32,j0,k0,i0,k1,j1,i1,None,None,k0,128,16,15,26,1526,93.46244049072266
256,128,256,128,i0,k0,k1,i1,0,1,1,2,4,32,j0,i0,k0,k1,j1,i1,None,None,i0,256,16,3,37,337,73.60100555419922
256,128,256,128,k0,i0,k1,i1,2,1,0,2,4,32,j0,k0,i0,k1,j1,i1,None,None,k0,256,16,3,36,336,84.6142349243164
256,128,128,256,i0,k0,k1,i1,0,1,1,1,4,32,j0,i0,k0,k1,i1,j1,None,j1,i0,128,32,7,15,715,28.272594451904297
256,128,128,256,i0,k0,k1,i1,0,1,1,2,4,32,j0,i0,k0,k1,i1,j1,None,j1,i0,128,16,15,15,1515,27.457275390625
128,256,128,256,k0,i0,k1,i1,2,1,0,1,2,64,j0,k0,i0,k1,i1,j1,j0,j1,k0,128,4,7,14,714,26.885906219482422
