P i1,P k1,P j1,P lorder0,P lorder1,P lorder2,P lorder3,P lorder4,P lorder5,P mode0,P mode1,P mode2,P mode3,P para,P nt,P parchunk,Mapped X,Mapped Y,Mapped,Execution Time
2,128,128,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,16,16,13,1613,1.3885691165924072
4,32,64,i1,k1,i0,j1,k0,j0,1,1,0,0,i1,48,128,1,33,133,1.4169303178787231
64,128,16,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,4,8,33,833,1.2902504205703735
4,128,64,i1,j1,k1,i0,k0,j0,0,1,0,0,i1,48,32,16,33,1633,1.343592643737793
4,128,128,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,64,8,13,813,1.3267202377319336
16,128,16,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,16,8,33,833,1.3457884788513184
32,8,32,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,2,8,13,813,1.3904236555099487
16,4,64,i1,j1,i0,k1,k0,j0,1,0,0,0,i1,48,32,2,33,233,1.3457939624786377
4,256,128,i1,j1,i0,k1,k0,j0,1,0,0,0,i1,48,64,16,33,1633,1.323182225227356
8,256,64,i1,j1,i0,k1,k0,j0,1,0,0,0,i1,48,4,32,33,3233,1.3222774267196655
8,256,32,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,64,32,23,3223,1.3258968591690063
2,64,32,i1,i0,k1,k0,j1,j0,1,1,0,0,i1,48,128,1,3,103,1.319428563117981
1,256,128,i1,j1,k1,i0,k0,j0,1,1,0,0,i1,48,128,2,33,233,1.3194853067398071
4,8,128,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,256,0,33,33,1.3197745084762573
1,256,64,i1,j1,i0,k1,k0,j0,1,1,0,0,i1,48,32,8,13,813,1.538354516029358
8,2,64,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,256,0,13,13,1.4163507223129272
8,64,32,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,16,32,13,3213,1.4308454990386963
8,16,64,i1,k1,i0,j1,k0,j0,1,1,0,0,i1,48,64,2,33,233,1.3435661792755127
4,2,16,i1,i0,k1,j1,k0,j0,1,0,0,1,i1,48,32,0,14,14,1.5115102529525757
32,4,64,i1,j1,i0,k1,k0,j0,1,0,0,0,i1,48,2,24,33,2433,1.5299370288848877
16,32,16,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,1,32,33,3233,1.5811219215393066
128,2,64,i1,i0,j1,k1,k0,j0,0,0,0,1,i1,48,4,24,34,2434,1.4292621612548828
16,2,64,i1,j1,i0,k1,k0,j0,1,0,0,0,i1,48,2,16,33,1633,1.5568766593933105
4,128,16,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,32,16,23,1623,1.413822889328003
16,8,16,i1,k1,j1,i0,k0,j0,0,0,0,0,i1,48,16,8,13,813,1.5961475372314453
128,2,16,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,8,32,13,3213,1.3370921611785889
8,4,64,i1,j1,i0,k1,k0,j0,1,1,0,0,i1,48,128,0,13,13,1.3423422574996948
4,16,16,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,64,1,23,123,1.33568274974823
64,8,32,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,2,16,33,1633,1.3862003087997437
8,256,32,i1,k1,j1,i0,k0,j0,1,0,0,0,i1,48,64,32,13,3213,1.421602725982666
1,64,128,i1,j1,k1,i0,k0,j0,0,0,0,0,i1,48,128,0,13,13,1.4634703397750854
8,128,32,i1,k1,j1,i0,k0,j0,1,0,0,0,i1,48,64,16,13,1613,1.4055166244506836
8,8,32,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,128,0,23,23,1.3325785398483276
16,2,64,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,128,0,13,13,1.2798182964324951
4,256,32,i1,k1,j1,i0,k0,j0,1,1,0,0,i1,48,128,8,33,833,1.3681153059005737
64,8,128,i1,i0,k1,j1,k0,j0,1,0,0,0,i1,48,32,16,13,1613,1.2604604959487915
2,64,128,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,128,1,33,133,1.3184592723846436
4,128,64,i1,i0,k1,k0,j1,j0,0,0,0,0,i1,48,256,2,23,223,1.230860710144043
64,4,64,i1,i0,j1,k1,k0,j0,0,0,0,0,i1,48,2,8,33,833,1.2931545972824097
1,128,128,i1,j1,k1,i0,k0,j0,0,0,0,0,i1,48,256,0,13,13,1.2051464319229126
4,64,32,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,16,16,13,1613,1.4819680452346802
4,128,64,i1,i0,k1,j1,k0,j0,0,1,0,0,i1,48,64,8,33,833,1.1854102611541748
1,16,128,i1,k1,j1,i0,k0,j0,0,1,0,0,i1,48,256,0,33,33,1.3172229528427124
4,16,64,i1,j1,i0,k1,k0,j0,0,1,0,0,i1,48,32,2,13,213,1.2778223752975464
8,64,128,i1,i0,k1,j1,k0,j0,0,0,0,0,i1,48,128,4,13,413,1.2211488485336304
1,64,128,i1,i0,k1,k0,j1,j0,1,1,0,0,i1,48,256,0,3,3,1.2223732471466064
1,64,128,i1,k1,j1,i0,k0,j0,1,0,0,0,i1,48,128,0,13,13,1.3694803714752197
8,64,32,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,32,16,23,1623,1.2174677848815918
1,16,64,i1,i0,k1,k0,j1,j0,0,1,0,0,i1,48,256,0,3,3,1.245393991470337
4,128,64,i1,j1,i0,k1,k0,j0,0,1,0,0,i1,48,64,8,13,813,1.2301186323165894
4,16,8,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,64,1,23,123,1.2904123067855835
2,16,128,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,256,0,23,23,1.1722036600112915
2,128,32,i1,i0,k1,k0,j1,j0,0,1,0,0,i1,48,256,1,3,103,1.1643617153167725
8,4,64,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,32,1,33,133,1.1972007751464844
4,2,64,i1,i0,k1,j1,k0,j0,1,1,0,0,i1,48,64,0,33,33,1.2221461534500122
32,2,32,i1,i0,k1,j1,k0,j0,1,1,0,1,i1,48,8,8,34,834,1.2408381700515747
4,256,128,i1,j1,i0,k1,k0,j0,1,0,0,0,i1,48,32,32,33,3233,1.2523167133331299
8,4,16,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,64,0,23,23,1.2152119874954224
8,2,64,i1,i0,j1,k1,k0,j0,0,1,0,0,i1,48,32,0,13,13,1.2461949586868286
8,2,64,i1,i0,j1,k1,k0,j0,0,1,0,0,i1,48,64,0,13,13,1.1966376304626465
4,4,16,i1,i0,k1,k0,j1,j0,1,0,0,0,i1,48,128,0,23,23,1.3142575025558472
